EXPORT FROM MATLAB: GPS_orbit_est.m 

 * Coordinates ORS (xF, yF) || Coordinates ITRF (x, y, z) || Coordinates phi, lambda, h ell
 -23979328.747520  -11632363.712682        0.000000 || -15599032.153894   1694574.848856  21543414.415295 ||        0.942070         3.033384  20287666.452420 
 -23928377.028232  -11736372.250057        0.000000 || -15584520.982847   1614555.049477  21559813.972401 ||        0.943125         3.038361  20287492.231203 
 -23876971.867379  -11840158.383748        0.000000 || -15570139.423417   1534449.168817  21575804.972041 ||        0.944156         3.043359  20287315.756154 
 -23825114.229031  -11943720.142025        0.000000 || -15555888.045678   1454258.909179  21591387.102101 ||        0.945163         3.048378  20287137.029373 
 -23772805.085784  -12047055.557280        0.000000 || -15541767.410363   1373985.976600  21606560.058121 ||        0.946145         3.053416  20286956.053028 
 -23720045.418751  -12150162.666061        0.000000 || -15527778.068829   1293632.080782  21621323.543302 ||        0.947102         3.058474  20286772.829361 
 -23666836.217537  -12253039.509109        0.000000 || -15513920.563041   1213198.935031  21635677.268512 ||        0.948034         3.063551  20286587.360684 
 -23613178.480225  -12355684.131394        0.000000 || -15500195.425548   1132688.256191  21649620.952291 ||        0.948940         3.068647  20286399.649380 
 -23559073.213360  -12458094.582154        0.000000 || -15486603.179456   1052101.764579  21663154.320860 ||        0.949822         3.073761  20286209.697905 
 -23504521.431927  -12560268.914926        0.000000 || -15473144.338409    971441.183924  21676277.108122 ||        0.950679         3.078893  20286017.508784 
 -23449524.159337  -12662205.187589        0.000000 || -15459819.406567    890708.241296  21688989.055674 ||        0.951510         3.084042  20285823.084617 
 -23394082.427408  -12763901.462393        0.000000 || -15446628.878584    809904.667047  21701289.912805 ||        0.952315         3.089208  20285626.428071 
 -23338197.276346  -12865355.806000        0.000000 || -15433573.239586    729032.194742  21713179.436508 ||        0.953095         3.094391  20285427.541888 
 -23281869.754727  -12966566.289519        0.000000 || -15420652.965152    648092.561093  21724657.391480 ||        0.953850         3.099590  20285226.428881 
 -23225100.919479  -13067530.988539        0.000000 || -15407868.521290    567087.505900  21735723.550131 ||        0.954578         3.104804  20285023.091933 
 -23167891.835861  -13168247.983171        0.000000 || -15395220.364423    486018.771975  21746377.692586 ||        0.955281         3.110034  20284817.534001 
 -23110243.577451  -13268715.358076        0.000000 || -15382708.941365    404888.105088  21756619.606694 ||        0.955957         3.115278  20284609.758110 
 -23052157.226117  -13368931.202506        0.000000 || -15370334.689303    323697.253890  21766449.088025 ||        0.956608         3.120536  20284399.767361 
 -22993633.872007  -13468893.610338        0.000000 || -15358098.035779    242447.969855  21775865.939885 ||        0.957232         3.125808  20284187.564923 
 -22934674.613525  -13568600.680111        0.000000 || -15345999.398673    161142.007212  21784869.973310 ||        0.957831         3.131092  20283973.154039 
 -22875280.557313  -13668050.515057        0.000000 || -15334039.186181     79781.122876  21793461.007078 ||        0.958402         3.136390  20283756.538023 
 -22815452.818230  -13767241.223143        0.000000 || -15322217.796803     -1632.923616  21801638.867709 ||        0.958948        -3.141486  20283537.720261 
 -22755192.519334  -13866170.917101        0.000000 || -15310535.619322    -83098.370172  21809403.389469 ||        0.959467        -3.136165  20283316.704208 
 -22694500.791864  -13964837.714464        0.000000 || -15298993.032789   -164613.452210  21816754.414377 ||        0.959959        -3.130833  20283093.493395 
 -22633378.775214  -14063239.737604        0.000000 || -15287590.406508   -246176.402728  21823691.792207 ||        0.960425        -3.125491  20282868.091421 
 -22571827.616920  -14161375.113765        0.000000 || -15276328.100020   -327785.452367  21830215.380488 ||        0.960865        -3.120139  20282640.501959 
 -22509848.472635  -14259241.975098        0.000000 || -15265206.463085   -409438.829482  21836325.044515 ||        0.961277        -3.114777  20282410.728752 
 -22447442.506110  -14356838.458694        0.000000 || -15254225.835669   -491134.760204  21842020.657344 ||        0.961663        -3.109407  20282178.775616 
 -22384610.889173  -14454162.706624        0.000000 || -15243386.547934   -572871.468514  21847302.099803 ||        0.962022        -3.104029  20281944.646437 
 -22321354.801710  -14551212.865970        0.000000 || -15232688.920216   -654647.176301  21852169.260489 ||        0.962354        -3.098643  20281708.345174 
 -22257675.431641  -14647987.088858        0.000000 || -15222133.263018   -736460.103439  21856622.035773 ||        0.962659        -3.093249  20281469.875856 
 -22193573.974904  -14744483.532499        0.000000 || -15211719.876993   -818308.467847  21860660.329803 ||        0.962937        -3.087850  20281229.242585 
 -22129051.635428  -14840700.359216        0.000000 || -15201449.052933   -900190.485560  21864284.054509 ||        0.963188        -3.082444  20280986.449534 
 -22064109.625116  -14936635.736483        0.000000 || -15191321.071759   -982104.370797  21867493.129600 ||        0.963412        -3.077033  20280741.500947 
 -21998749.163820  -15032287.836958        0.000000 || -15181336.204504  -1064048.336026  21870287.482570 ||        0.963609        -3.071618  20280494.401138 
 -21932971.479325  -15127654.838519        0.000000 || -15171494.712306  -1146020.592033  21872667.048701 ||        0.963779        -3.066198  20280245.154496 
 -21866777.807320  -15222734.924294        0.000000 || -15161796.846397  -1228019.347992  21874631.771063 ||        0.963922        -3.060775  20279993.765478 
 -21800169.391383  -15317526.282701        0.000000 || -15152242.848089  -1310042.811528  21876181.600515 ||        0.964038        -3.055348  20279740.238613 
 -21733147.482953  -15412027.107475        0.000000 || -15142832.948767  -1392089.188792  21877316.495711 ||        0.964126        -3.049920  20279484.578502 
 -21665713.341314  -15506235.597708        0.000000 || -15133567.369880  -1474156.684521  21878036.423098 ||        0.964187        -3.044489  20279226.789815 
 -21597868.233566  -15600149.957881        0.000000 || -15124446.322929  -1556243.502112  21878341.356918 ||        0.964222        -3.039058  20278966.877296 
 -21529613.434609  -15693768.397894        0.000000 || -15115470.009461  -1638347.843687  21878231.279210 ||        0.964229        -3.033625  20278704.845757 
 -21460950.227115  -15787089.133108        0.000000 || -15106638.621058  -1720467.910165  21877706.179813 ||        0.964208        -3.028193  20278440.700083 
 -21391879.901508  -15880110.384367        0.000000 || -15097952.339331  -1802601.901324  21876766.056364 ||        0.964161        -3.022761  20278174.445228 
 -21322403.755944  -15972830.378044        0.000000 || -15089411.335914  -1884748.015876  21875410.914300 ||        0.964086        -3.017331  20277906.086219 
 -21252523.096279  -16065247.346065        0.000000 || -15081015.772455  -1966904.451531  21873640.766860 ||        0.963984        -3.011902  20277635.628152 
 -21182239.236057  -16157359.525945        0.000000 || -15072765.800607  -2049069.405068  21871455.635084 ||        0.963855        -3.006476  20277363.076192 
 -21111553.496477  -16249165.160825        0.000000 || -15064661.562028  -2131241.072400  21868855.547816 ||        0.963699        -3.001052  20277088.435578 
 -21040467.206377  -16340662.499497        0.000000 || -15056703.188370  -2213417.648649  21865840.541701 ||        0.963516        -2.995633  20276811.711617 
 -20968981.702206  -16431849.796447        0.000000 || -15048890.801277  -2295597.328207  21862410.661188 ||        0.963305        -2.990217  20276532.909686 
 -20897098.328002  -16522725.311879        0.000000 || -15041224.512379  -2377778.304809  21858565.958529 ||        0.963068        -2.984806  20276252.035234 
 -20824818.435366  -16613287.311754        0.000000 || -15033704.423286  -2459958.771602  21854306.493781 ||        0.962803        -2.979400  20275969.093778 
 -20752143.383441  -16703534.067819        0.000000 || -15026330.625589  -2542136.921210  21849632.334801 ||        0.962512        -2.974001  20275684.090907 
 -20679074.538888  -16793463.857642        0.000000 || -15019103.200851  -2624310.945809  21844543.557252 ||        0.962193        -2.968607  20275397.032277 
 -20605613.275856  -16883074.964642        0.000000 || -15012022.220607  -2706479.037189  21839040.244597 ||        0.961848        -2.963221  20275107.923616 
 -20531760.975965  -16972365.678126        0.000000 || -15005087.746361  -2788639.386826  21833122.488102 ||        0.961475        -2.957843  20274816.770722 
 -20457519.028279  -17061334.293315        0.000000 || -14998299.829583  -2870790.185951  21826790.386834 ||        0.961076        -2.952472  20274523.579459 
 -20382888.829276  -17149979.111381        0.000000 || -14991658.511709  -2952929.625620  21820044.047662 ||        0.960650        -2.947111  20274228.355764 
 -20307871.782834  -17238298.439479        0.000000 || -14985163.824138  -3035055.896779  21812883.585251 ||        0.960197        -2.941758  20273931.105642 
 -20232469.300193  -17326290.590776        0.000000 || -14978815.788232  -3117167.190335  21805309.122068 ||        0.959718        -2.936416  20273631.835167 
 -20156682.799941  -17413953.884485        0.000000 || -14972614.415316  -3199261.697228  21797320.788375 ||        0.959212        -2.931084  20273330.550481 
 -20080513.707984  -17501286.645898        0.000000 || -14966559.706679  -3281337.608493  21788918.722230 ||        0.958679        -2.925763  20273027.257795 
 -20003963.457518  -17588287.206416        0.000000 || -14960651.653569  -3363393.115335  21780103.069485 ||        0.958120        -2.920453  20272721.963391 
 -19927033.489009  -17674953.903581        0.000000 || -14954890.237203  -3445426.409196  21770873.983784 ||        0.957534        -2.915156  20272414.673616 
 -19849725.250163  -17761285.081106        0.000000 || -14949275.428760  -3527435.681821  21761231.626564 ||        0.956922        -2.909871  20272105.394887 
 -19772040.195903  -17847279.088911        0.000000 || -14943807.189388  -3609419.125332  21751176.167049 ||        0.956284        -2.904599  20271794.133690 
 -19693979.788343  -17932934.283149        0.000000 || -14938485.470205  -3691374.932292  21740707.782249 ||        0.955620        -2.899341  20271480.896578 
 -19615545.496757  -18018249.026242        0.000000 || -14933310.212300  -3773301.295779  21729826.656959 ||        0.954930        -2.894096  20271165.690172 
 -19536738.797560  -18103221.686907        0.000000 || -14928281.346738  -3855196.409449  21718532.983758 ||        0.954213        -2.888867  20270848.521160 
 -19457561.174277  -18187850.640194        0.000000 || -14923398.794566  -3937058.467610  21706826.963002 ||        0.953471        -2.883652  20270529.396299 
 -19378014.117518  -18272134.267508        0.000000 || -14918662.466809  -4018885.665287  21694708.802824 ||        0.952703        -2.878453  20270208.322412 
