EXPORT FROM MATLAB: GPS_orbit_est.m 

 * Coordinates ORS (xF, yF) || Coordinates ITRF (x, y, z) || Coordinates phi, lambda, h ell
 -13389178.416730  22997465.035453        0.000000 || -20612365.400594  16684505.305500  -2216116.430841 ||       -0.083508         2.461121  20233164.911324 
 -13489487.870683  22939217.948734        0.000000 || -20623963.841370  16683102.957102  -2121366.141286 ||       -0.079928         2.461437  20233537.791567 
 -13589540.542308  22880534.197089        0.000000 || -20635274.959836  16681513.015629  -2026575.470238 ||       -0.076349         2.461752  20233910.223424 
 -13689334.538235  22821414.916475        0.000000 || -20646299.435371  16679734.261719  -1931746.223778 ||       -0.072769         2.462065  20234282.200477 
 -13788867.970154  22761861.250994        0.000000 || -20657037.956737  16677765.481658  -1836880.208563 ||       -0.069188         2.462377  20234653.716285 
 -13888138.954848  22701874.352867        0.000000 || -20667491.222041  16675605.467431  -1741979.231787 ||       -0.065608         2.462688  20235024.764390 
 -13987145.614226  22641455.382414        0.000000 || -20677659.938698  16673253.016784  -1647045.101152 ||       -0.062027         2.462997  20235395.338307 
 -14085886.075361  22580605.508027        0.000000 || -20687544.823398  16670706.933279  -1552079.624830 ||       -0.058445         2.463305  20235765.431535 
 -14184358.470521  22519325.906151        0.000000 || -20697146.602063  16667966.026350  -1457084.611434 ||       -0.054864         2.463612  20236135.037549 
 -14282560.937205  22457617.761260        0.000000 || -20706466.009815  16665029.111362  -1362061.869977 ||       -0.051282         2.463918  20236504.149803 
 -14380491.618174  22395482.265831        0.000000 || -20715503.790939  16661895.009667  -1267013.209847 ||       -0.047700         2.464223  20236872.761731 
 -14478148.661489  22332920.620321        0.000000 || -20724260.698840  16658562.548658  -1171940.440766 ||       -0.044117         2.464527  20237240.866746 
 -14575530.220539  22269934.033146        0.000000 || -20732737.496008  16655030.561825  -1076845.372759 ||       -0.040535         2.464830  20237608.458240 
 -14672634.454083  22206523.720653        0.000000 || -20740934.953979  16651297.888814   -981729.816120 ||       -0.036952         2.465133  20237975.529583 
 -14769459.526273  22142690.907100        0.000000 || -20748853.853297  16647363.375479   -886595.581377 ||       -0.033370         2.465434  20238342.074128 
 -14866003.606697  22078436.824629        0.000000 || -20756494.983471  16643225.873936   -791444.479261 ||       -0.029787         2.465736  20238708.085205 
 -14962264.870407  22013762.713241        0.000000 || -20763859.142939  16638884.242624   -696278.320669 ||       -0.026204         2.466036  20239073.556122 
 -15058241.497950  21948669.820776        0.000000 || -20770947.139027  16634337.346351   -601098.916631 ||       -0.022621         2.466336  20239438.480172 
 -15153931.675410  21883159.402882        0.000000 || -20777759.787906  16629584.056355   -505908.078279 ||       -0.019038         2.466635  20239802.850622 
 -15249333.594430  21817232.722997        0.000000 || -20784297.914553  16624623.250356   -410707.616808 ||       -0.015455         2.466934  20240166.660724 
 -15344445.452253  21750891.052319        0.000000 || -20790562.352711  16619453.812606   -315499.343446 ||       -0.011872         2.467233  20240529.903706 
